"","CNTRYID","CNT","CNTSCHID","CNTSTUID","CYC","NatCen","STRATUM","SUBNATIO","OECD","BOOKID","ST001D01T","ST003D02T","ST003D03T","ST004D01T","ST005Q01TA","ST007Q01TA","ST011Q04TA","ST154Q01HA","IC001Q01TA","IC001Q02TA","IC001Q03TA","IC001Q04TA","IC001Q05TA","IC001Q07TA","IC009Q01TA","IC009Q02TA","IC009Q03TA","IC009Q05NA","IC009Q06NA","IC002Q01HA","IC004Q01HA","ST013Q01TA","MISCED","FISCED","HISCED","PARED","MISCED_D","FISCED_D","HISCED_D","PAREDINT","HISEI","MMINS","LMINS","SMINS","TMINS","STUBMI","ESCS","ICTHOME","ICTSCH","HEDRES","WEALTH","ICTRES","EMOSUPS","STIMREAD","ADAPTIVITY","BODYIMA","SOCONPA","PVMATH","PVREAD","PVSCIE","W_FSTUWT"
"370",484,"MEX",48400015,48400357,"07MS","048400","MEX0007","4840000",1,4,10,4,2002,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385.5653,440.2191,420.9942,142.51067
"371",484,"MEX",48400015,48400477,"07MS","048400","MEX0007","4840000",1,21,10,12,2002,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,451.9876,436.505,472.0108,133.08226
"372",484,"MEX",48400015,48400541,"07MS","048400","MEX0007","4840000",1,7,10,12,2002,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489.2518,501.772,501.1332,142.51067
"373",484,"MEX",48400015,48400862,"07MS","048400","MEX0007","4840000",1,14,10,8,2002,2,1,1,2,1,3,3,2,3,3,3,3,3,3,3,3,4,4,1,4,4,4,12,4,4,4,12,28.04,250,200,NA,NA,19.68,-2.3401,3,1,-2.3391,-3.3718,-2.805,-0.6576,-1.7115,2.0073,1.3115,-0.3986,332.3172,359.9552,367.9489,133.08226
"374",484,"MEX",48400015,48400936,"07MS","048400","MEX0007","4840000",1,20,10,1,2002,2,3,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,4,12,2,4,4,12,23.53,250,200,50,1700,NA,-1.2365,NA,NA,-1.25,0.2079,-0.3629,-2.4468,0.5102,0.4572,NA,NA,425.0191,413.3776,402.4119,133.08226
"375",484,"MEX",48400015,48401447,"07MS","048400","MEX0007","4840000",1,13,10,11,2002,2,2,1,2,2,3,3,3,3,2,3,2,2,3,2,1,5,4,2,5,5,5,14,5,5,5,14.5,27.52,250,200,0,1350,23.8,-1.6991,3,8,-2.4403,-3.7726,-2.9116,0.2127,0.5102,0.1041,0.1306,-1.0299,404.672,391.8894,390.2269,133.08226
"376",484,"MEX",48400015,48401471,"07MS","048400","MEX0007","4840000",1,24,10,5,2002,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425.3268,389.8661,400.8714,142.51067
"377",484,"MEX",48400015,48402026,"07MS","048400","MEX0007","4840000",1,18,10,4,2002,2,1,1,1,2,3,1,1,1,1,1,3,1,1,3,1,3,4,1,4,4,4,12,4,4,4,12,71.29,250,200,150,NA,19.54,-0.2895,8,4,-1.0118,-0.1229,-0.112,1.0346,-0.3302,0.1915,0.1306,0.9078,363.0621,396.5454,392.0003,133.08226
"378",484,"MEX",48400015,48402253,"07MS","048400","MEX0007","4840000",1,22,10,8,2002,1,3,2,2,2,3,3,1,3,3,1,3,3,1,3,3,4,4,1,2,3,3,12,2,3,3,12,16.38,250,200,50,500,NA,-1.8808,5,2,-1.3904,-1.6697,-1.7833,1.0346,0.2464,-0.5786,0.1536,-0.1607,372.9275,350.0925,349.9386,142.51067
"379",484,"MEX",48400015,48402400,"07MS","048400","MEX0007","4840000",1,17,10,7,2002,1,3,1,1,NA,1,1,1,1,1,1,2,3,3,2,3,2,2,3,2,4,4,12,2,4,4,12,65.01,60,NA,150,330,21.51,-0.0245,11,3,1.1793,-0.4356,-0.3629,NA,-2.3003,-0.5786,-2.4111,-1.0299,284.018,248.9382,295.7186,142.51067
