CNTRYID,CNT,CNTSCHID,CNTSTUID,CYC,NatCen,STRATUM,SUBNATIO,OECD,ST013Q01TA,MISCED,FISCED,HISCED,PARED,MISCED_D,FISCED_D,HISCED_D,PAREDINT,HISEI,MMINS,LMINS,SMINS,TMINS,STUBMI,ESCS,ICTHOME,ICTSCH,HEDRES,WEALTH,ICTRES,EMOSUPS,STIMREAD,ADAPTIVITY,BODYIMA,SOCONPA,PVMATH,PVREAD,PVSCIE
484,MEX,48400002,48407379,07MS,048400,MEX0002,4840000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,346.44,329.02,361.26
484,MEX,48400002,48407901,07MS,048400,MEX0002,4840000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,364.96,399.79,396.80
484,MEX,48400002,48408008,07MS,048400,MEX0002,4840000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,350.56,348.76,361.06
484,MEX,48400003,48400036,07MS,048400,MEX0007,4840000,1,2,5,1,5,14.00,5,1,5,14.50,17.00,240,360,180,2640,22.77,-1.3248,4,7,0.0477,-2.1193,-1.5939,1.0346,-0.6537,-0.0763,1.3115,0.2971,368.85,407.11,373.92
484,MEX,48400003,48400179,07MS,048400,MEX0007,4840000,1,1,1,1,1,6.00,1,1,1,6.00,39.04,200,200,200,850,20.52,-2.0140,9,8,-1.3525,-0.8018,-0.7308,1.0346,-0.6200,-0.5786,0.1306,-1.0299,461.84,437.30,415.97
484,MEX,48400003,48400418,07MS,048400,MEX0007,4840000,1,1,6,2,6,16.00,6,2,6,16.00,76.49,300,300,200,850,18.67,-0.0580,7,7,-1.0527,-2.2440,-1.7779,0.6402,-0.3335,0.1041,0.1306,0.3334,473.52,467.83,484.77
484,MEX,48400003,48400461,07MS,048400,MEX0007,4840000,1,4,6,6,6,16.00,6,6,6,16.00,62.13,200,250,750,1250,23.88,0.9716,11,10,1.1793,0.5298,0.1833,1.0346,-0.6200,-0.5786,,0.9078,397.48,391.39,419.01
484,MEX,48400003,48400669,07MS,048400,MEX0007,4840000,1,1,5,5,5,14.00,5,5,5,14.50,39.04,240,600,240,,24.00,-0.8255,7,8,-0.9057,-1.7903,-1.7162,1.0346,-0.2336,-1.0504,0.0422,-0.4368,458.40,392.24,428.16
484,MEX,48400003,48400893,07MS,048400,MEX0007,4840000,1,3,6,4,6,16.00,6,4,6,16.00,85.41,100,150,300,1100,23.53,1.2353,10,3,-0.6853,0.7009,0.7693,1.0346,-0.6200,0.4572,-0.8499,0.3334,487.99,613.15,520.53
484,MEX,48400003,48401442,07MS,048400,MEX0007,4840000,1,5,2,6,6,16.00,2,6,6,16.00,39.04,200,300,200,,19.22,-0.3452,5,9,-1.2200,-1.4810,-1.1196,1.0346,-0.6200,-1.4537,1.8425,0.3334,425.44,457.00,441.85
484,MEX,48400003,48401680,07MS,048400,MEX0007,4840000,1,1,5,5,5,14.00,5,5,5,14.50,39.04,200,300,200,1950,25.10,-1.2235,11,10,-1.2500,-2.4181,-1.7542,1.0346,-0.0716,2.0073,-1.0908,0.9078,379.36,353.72,365.03
484,MEX,48400003,48402037,07MS,048400,MEX0007,4840000,1,2,6,2,6,16.00,6,2,6,16.00,17.00,240,240,240,2040,21.63,-0.8370,9,10,-0.4903,-1.1658,-0.3419,-0.6576,-0.0716,-0.5786,0.1306,-0.1240,333.27,351.94,411.55
484,MEX,48400003,48402387,07MS,048400,MEX0007,4840000,1,2,2,3,3,12.00,2,3,3,12.00,62.13,100,100,100,800,23.51,-0.8705,4,1,-1.3835,-1.5142,-2.0409,1.0346,0.5102,0.1041,1.8425,0.9078,415.50,427.56,454.00
484,MEX,48400003,48402432,07MS,048400,MEX0007,4840000,1,1,4,6,6,16.00,4,6,6,16.00,24.98,250,300,250,1100,22.67,-0.6807,6,6,-1.0752,-1.1585,-1.4787,-1.0657,-2.3003,-2.2652,-2.4111,-2.9377,412.04,501.41,479.92
484,MEX,48400003,48403100,07MS,048400,MEX0007,4840000,1,3,2,4,4,12.00,2,4,4,12.00,25.04,,,,,20.28,-1.4189,5,4,-1.0752,-1.1757,-0.6068,,-0.9263,-0.4740,0.1306,-0.3986,468.55,497.81,510.80
484,MEX,48400003,48403540,07MS,048400,MEX0007,4840000,1,3,0,4,4,12.00,0,4,4,12.00,18.13,,,,,28.52,-1.4842,5,5,-1.2049,-1.8129,-0.9400,1.0346,0.2464,2.0073,,-2.1377,515.06,523.99,498.22
484,MEX,48400003,48403990,07MS,048400,MEX0007,4840000,1,1,2,2,2,9.00,2,2,2,9.00,40.54,,,,,24.49,-1.6446,7,7,-1.1443,-1.2006,-0.9400,0.2169,-0.5827,0.3695,-2.4111,-1.5287,510.45,538.63,538.16
484,MEX,48400003,48404220,07MS,048400,MEX0007,4840000,1,2,5,6,6,16.00,5,6,6,16.00,57.37,200,200,200,,27.34,0.0185,6,4,-0.6947,-1.2953,-1.2275,1.0346,-1.7115,-2.2652,-1.0908,0.9078,519.21,569.01,536.46
484,MEX,48400003,48404227,07MS,048400,MEX0007,4840000,1,3,5,5,5,14.00,5,5,5,14.50,76.65,480,720,480,,20.45,0.4125,9,10,-0.1357,-0.3003,-0.3490,1.0346,0.3422,0.5464,0.5549,0.7033,476.44,511.76,501.12
484,MEX,48400003,48404269,07MS,048400,MEX0007,4840000,1,1,1,2,2,9.00,1,2,2,9.00,44.14,,,,,16.84,-1.8520,4,3,-1.0752,-2.2515,-1.2275,1.0346,-1.7115,-1.4537,1.3115,-0.3986,405.81,470.34,410.94
484,MEX,48400003,48404869,07MS,048400,MEX0007,4840000,1,1,1,1,1,6.00,1,1,1,6.00,29.16,100,200,100,1550,19.38,-2.3453,5,4,-1.0752,-1.5422,-1.2275,1.0346,-1.1882,-1.0504,-0.3274,0.9078,467.38,481.20,499.82
484,MEX,48400003,48405099,07MS,048400,MEX0007,4840000,1,1,2,1,2,9.00,2,1,2,9.00,17.00,100,150,100,,36.81,-3.5963,2,4,-3.0862,-4.4648,-2.9116,-0.6576,0.2464,2.0073,-0.8487,0.9078,367.45,412.30,372.65
484,MEX,48400003,48405195,07MS,048400,MEX0007,4840000,1,1,2,0,2,9.00,2,0,2,9.00,17.00,120,120,120,780,19.82,-2.8393,4,4,-2.4403,-2.8867,-1.7779,-2.4468,-1.5150,-1.4537,-0.6375,-1.0299,436.57,452.49,438.32
484,MEX,48400003,48405354,07MS,048400,MEX0007,4840000,1,3,2,0,2,9.00,2,0,2,9.00,35.34,,,,,29.09,-1.7953,6,6,-1.6145,-1.3408,-1.7005,,-0.6200,0.4572,-1.0908,-1.0299,540.16,490.88,479.40
484,MEX,48400003,48405575,07MS,048400,MEX0007,4840000,1,3,2,4,4,12.00,2,4,4,12.00,18.13,150,200,150,750,20.28,-1.8495,5,5,-1.9183,-1.9828,-0.6068,-0.6576,0.5102,0.4572,-1.5374,-2.0063,404.34,432.06,425.02
484,MEX,48400003,48406111,07MS,048400,MEX0007,4840000,1,1,4,6,6,16.00,4,6,6,16.00,39.04,240,240,240,1560,24.66,0.1731,11,8,-0.4396,0.4001,0.5236,-0.6576,0.3130,-0.4771,0.5711,-1.0299,442.40,472.69,402.53
484,MEX,48400003,48406225,07MS,048400,MEX0007,4840000,1,1,4,4,4,12.00,4,4,4,12.00,17.00,200,200,200,,41.67,-1.6962,11,8,-1.0118,-1.8495,-1.4787,1.0346,-1.3412,-0.4708,-1.0908,-1.6926,409.63,415.64,397.52
484,MEX,48400003,48406532,07MS,048400,MEX0007,4840000,1,2,2,2,2,9.00,2,2,2,9.00,25.95,100,100,250,,21.62,-1.6527,5,5,-0.9386,-0.7636,-1.2275,0.2169,-2.3003,-2.2652,1.2117,0.3334,493.38,535.14,510.92
484,MEX,48400003,48406550,07MS,048400,MEX0007,4840000,1,1,2,4,4,12.00,2,4,4,12.00,30.34,150,100,100,1250,17.01,-1.3039,6,6,-1.0752,-0.9402,-0.8794,1.0346,-2.3003,-2.2652,1.2117,-0.3986,503.52,499.93,526.52
484,MEX,48400003,48406761,07MS,048400,MEX0007,4840000,1,3,2,5,5,14.00,2,5,5,14.50,56.03,100,150,100,1250,17.91,-0.1666,7,7,-0.6853,-0.8100,-0.8794,-1.5800,-0.2336,-0.5786,-0.8499,-1.8634,469.90,479.70,461.54
484,MEX,48400003,48406893,07MS,048400,MEX0007,4840000,1,2,2,3,3,12.00,2,3,3,12.00,27.91,200,200,200,1550,22.86,-1.3554,5,3,-0.1357,-1.3832,-1.4787,1.0346,-0.9225,0.5464,-1.0371,0.9078,500.87,505.37,440.94
484,MEX,48400003,48406932,07MS,048400,MEX0007,4840000,1,2,5,6,6,16.00,5,6,6,16.00,70.09,150,150,150,,20.34,0.5030,10,9,-0.1357,-0.4930,-0.2784,1.0346,-0.6200,-0.5786,0.1306,0.9078,433.30,416.11,436.98
484,MEX,48400003,48406977,07MS,048400,MEX0007,4840000,1,1,1,1,1,6.00,1,1,1,6.00,35.34,300,150,150,,23.73,-2.8267,2,4,-1.7257,-2.7961,-2.9116,-0.6576,-0.6200,-0.5786,1.0044,-1.0299,424.83,444.75,445.37
484,MEX,48400003,48407158,07MS,048400,MEX0007,4840000,1,2,6,2,6,16.00,6,2,6,16.00,57.99,200,250,600,,19.95,-0.1470,7,4,-0.1357,-1.6003,-1.2275,0.3657,2.0871,2.0073,0.9248,-1.0299,415.13,415.62,461.01
484,MEX,48400003,48407334,07MS,048400,MEX0007,4840000,1,3,6,6,6,16.00,6,6,6,16.00,76.65,200,200,200,1500,23.12,1.0533,8,6,1.1793,0.4632,-0.1536,1.0346,-0.3644,-1.4537,0.0422,-0.2702,589.26,559.59,554.30
484,MEX,48400003,48407388,07MS,048400,MEX0007,4840000,1,3,5,5,5,14.00,5,5,5,14.50,62.13,90,135,90,1575,23.57,-0.0674,7,4,-1.0118,-0.4480,-0.1120,1.0346,0.5102,0.7368,-1.0908,0.3334,521.81,496.96,526.25
484,MEX,48400003,48407789,07MS,048400,MEX0007,4840000,1,3,4,2,4,12.00,4,2,4,12.00,36.35,240,240,160,1760,22.77,-0.9615,8,4,-0.6947,-0.6624,-0.3490,-0.6576,-2.3003,2.0073,1.5661,-1.0299,510.14,540.39,533.16
484,MEX,48400003,48408181,07MS,048400,MEX0007,4840000,1,3,5,2,5,14.00,5,2,5,14.50,27.91,100,150,150,,20.27,-1.2944,4,8,-1.0527,-2.9662,-2.4109,1.0346,-0.0999,-0.2644,1.5661,0.3334,444.03,498.84,491.63
484,MEX,48400004,48400062,07MS,048400,MEX0007,4840000,1,1,6,5,6,16.00,6,5,6,16.00,68.70,250,200,250,1750,24.65,0.3364,8,9,-1.0118,-0.3003,-0.3490,1.0346,0.5135,0.6350,-2.4111,0.3334,419.99,508.05,475.60
484,MEX,48400004,48400140,07MS,048400,MEX0007,4840000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,454.01,450.72,456.20
484,MEX,48400004,48400527,07MS,048400,MEX0007,4840000,1,4,6,6,6,16.00,6,6,6,16.00,86.72,250,200,250,,17.63,1.0760,10,5,1.1793,-0.4566,-0.1536,0.3622,-0.9225,0.4572,-1.0908,-0.2702,498.22,548.80,500.10
484,MEX,48400004,48400625,07MS,048400,MEX0007,4840000,1,4,4,6,6,16.00,4,6,6,16.00,65.01,250,200,250,1800,22.68,1.0981,9,4,-0.6122,1.5673,0.7693,1.0346,-0.6200,-1.0504,-0.5743,0.9078,501.29,514.05,494.67
484,MEX,48400004,48400713,07MS,048400,MEX0007,4840000,1,1,6,5,6,16.00,6,5,6,16.00,85.85,250,200,250,1450,24.34,0.3324,3,4,-0.1357,-2.0392,-1.4787,1.0346,0.5102,,0.1306,0.9078,459.93,471.76,445.73
484,MEX,48400004,48400881,07MS,048400,MEX0007,4840000,1,4,6,4,6,16.00,6,4,6,16.00,50.15,300,240,300,,17.76,0.3250,10,5,-0.6947,-0.3142,-0.3490,0.2127,0.2751,0.4599,-0.6500,-0.3986,468.63,527.75,514.17
484,MEX,48400004,48400962,07MS,048400,MEX0007,4840000,1,3,4,2,4,12.00,4,2,4,12.00,17.00,250,200,250,2150,23.44,-1.8331,2,10,-1.0527,-2.7646,-3.7680,-1.1847,-0.9225,-0.5786,0.6891,-1.6630,431.20,435.20,424.61
484,MEX,48400004,48401425,07MS,048400,MEX0007,4840000,1,3,6,6,6,16.00,6,6,6,16.00,44.14,250,200,250,1250,22.60,0.3524,10,6,-0.1357,0.2737,-0.2390,-0.6576,-0.6200,-0.1687,1.8425,0.9078,483.46,499.01,483.71
484,MEX,48400004,48401664,07MS,048400,MEX0007,4840000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,563.90,593.61,563.48
484,MEX,48400004,48402090,07MS,048400,MEX0007,4840000,1,3,6,6,6,16.00,6,6,6,16.00,66.42,,,,,17.31,0.4474,7,7,1.1793,-0.5019,-0.1536,,0.2464,0.1915,1.8425,0.9078,485.93,516.02,516.58
